Overall Rank	Name	Pos	Team	Bye	ADP	Std Dev
1	Jahmyr Gibbs	RB	DET	6	1.4	0.6
2	Bijan Robinson	RB	ATL	11	2.3	0.7
3	Puka Nacua	WR	LAR	11	2.8	0.8
4	Ja'Marr Chase	WR	CIN	6	3.8	1.1
5	Christian McCaffrey	RB	SF	8	5.5	1.4
6	Jaxon Smith-Njigba	WR	SEA	11	5.7	1.3
7	Amon-Ra St. Brown	WR	DET	6	7.0	1.5
8	Jonathan Taylor	RB	IND	13	7.4	1.7
9	De'Von Achane	RB	MIA	6	9.6	1.6
10	CeeDee Lamb	WR	DAL	14	10.5	1.7
11	James Cook III	RB	BUF	7	11.3	2.8
12	Justin Jefferson	WR	MIN	6	11.7	2.0
13	Chase Brown	RB	CIN	6	13.1	2.5
14	Drake London	WR	ATL	11	13.8	1.9
15	Derrick Henry	RB	BAL	13	15.5	2.3
16	A.J. Brown	WR	NE	11	16.5	2.7
17	Rashee Rice	WR	KC	5	17.3	2.3
18	Saquon Barkley	RB	PHI	10	18.3	3.4
19	George Pickens	WR	DAL	14	19.9	3.0
20	Chris Olave	WR	NO	8	20.0	2.4
21	Nico Collins	WR	HOU	8	20.1	2.7
22	Kenneth Walker	RB	KC	5	21.0	3.8
23	Ashton Jeanty	RB	LV	13	21.2	4.1
24	Omarion Hampton	RB	LAC	7	22.3	4.2
25	Zay Flowers	WR	BAL	13	24.6	2.5
26	Malik Nabers	WR	NYG	8	26.8	3.7
27	Garrett Wilson	WR	NYJ	13	26.9	2.9
28	Jeremiyah Love	RB	ARI	14	28.2	3.1
29	DeVonta Smith	WR	PHI	10	29.1	3.3
30	Breece Hall	RB	NYJ	13	30.6	3.0
31	Trey McBride	TE	ARI	14	31.2	6.5
32	Tetairoa McMillan	WR	CAR	5	31.6	4.3
33	Javonte Williams	RB	DAL	14	31.7	4.0
34	Kyren Williams	RB	LAR	11	31.8	3.6
35	Josh Allen	QB	BUF	7	32.4	7.4
36	Brock Bowers	TE	LV	13	34.5	7.0
37	Emeka Egbuka	WR	TB	10	35.5	4.2
38	Travis Etienne Jr.	RB	NO	8	36.3	3.7
39	Tee Higgins	WR	CIN	6	36.6	4.1
40	Cam Skattebo	RB	NYG	8	37.5	4.4
41	Ladd McConkey	WR	LAC	7	38.8	4.3
42	Davante Adams	WR	LAR	11	41.8	5.0
43	D'Andre Swift	RB	CHI	10	42.5	4.0
44	Jaylen Waddle	WR	DEN	10	44.2	5.0
45	Jameson Williams	WR	DET	6	45.6	4.7
46	Bucky Irving	RB	TB	10	45.7	4.6
47	DJ Moore	WR	BUF	7	47.4	5.9
48	Terry McLaurin	WR	WAS	7	48.3	5.1
49	Quinshon Judkins	RB	CLE	11	49.2	5.2
50	Luther Burden III	WR	CHI	10	50.7	6.0
51	Drake Maye	QB	NE	11	51.1	8.7
52	David Montgomery	RB	HOU	8	51.9	6.3
53	Bhayshul Tuten	RB	JAX	7	53.6	6.2
54	Colston Loveland	TE	CHI	10	53.8	10.1
55	Joe Burrow	QB	CIN	6	54.5	7.1
56	Rome Odunze	WR	CHI	10	54.9	5.8
57	Lamar Jackson	QB	BAL	13	55.0	8.4
58	Christian Watson	WR	GB	11	56.5	6.2
59	Mike Evans	WR	SF	8	57.4	6.9
60	Rhamondre Stevenson	RB	NE	11	61.2	5.7
61	Courtland Sutton	WR	DEN	10	61.4	6.7
62	Parker Washington	WR	JAX	7	61.6	7.0
63	Jaylen Warren	RB	PIT	9	62.8	5.7
64	TreVeyon Henderson	RB	NE	11	63.7	6.2
65	DK Metcalf	WR	PIT	9	64.2	7.2
66	Dak Prescott	QB	DAL	14	65.4	6.6
67	Marvin Harrison Jr.	WR	ARI	14	65.6	7.4
68	Tyler Warren	TE	IND	13	66.0	8.1
69	Jadarian Price	RB	SEA	11	66.1	11.3
70	Tony Pollard	RB	TEN	9	68.8	5.9
71	Alec Pierce	WR	IND	13	69.3	6.9
72	Brian Thomas Jr.	WR	JAX	7	73.6	7.3
73	Harold Fannin Jr.	TE	CLE	11	73.8	8.0
74	Jayden Daniels	QB	WAS	7	74.3	11.0
75	Matthew Stafford	QB	LAR	11	74.8	10.7
76	Rico Dowdle	RB	PIT	9	75.4	8.6
77	Michael Wilson	WR	ARI	14	75.7	7.9
78	Jalen Hurts	QB	PHI	10	76.3	11.2
79	Michael Pittman Jr.	WR	PIT	9	77.0	7.5
80	Chris Godwin Jr.	WR	TB	10	77.8	8.0
81	Chuba Hubbard	RB	CAR	5	78.5	8.1
